Sample,MinAge,MaxAge,Median,Mean
NM-MD9-2650,8399,8900,8668.5,8660.5
NM-MD9-2450,7391.5,7970,7666.5,7669.5
NM-MD9-2250,6499.5,7083.5,6769.5,6775
NM-MD9-2050,5634,6228.5,5930.5,5931
NM-MD9-1849,4833.5,5366.5,5087,5089
LH-MD9-1150,2597,2874.5,2718.5,2723.5
LH-MD9-0900,1949.5,2177.5,2054.5,2057
LH-MD9-0700,1461.5,1680,1572.5,1572
LH-MD9-0450,842.5,1043.5,934,937
LH-MD9-0250,280.5,461,371,371.5
LH-MD9-0000,0,0,0,0
