,SenseDemultiplex,SenseStripped,AntiSenseDemultiplex,AntSenseStripped
EUK.NM-MD9-2650-7.S,17469,16765,17303,16525
EUK.NM-MD9-2650-8.S,27715,22704,27629,22721
EUK.TubNTC-1.S,119,68,114,64
EUK.TubNTC-2.S,11,11,11,10
EUK.TubNTC-3.S,2919,45,2685,36
EUK.TubNTC-4.S,5528,50,5209,51
EUK.TubNTC-5.S,17194,57,16752,63
EUK.TubNTC-6.S,2358,1,2386,0
EUK.TubNTC-7.S,6,0,8,0
EUK.TubNTC-8.S,9,0,9,0
Pool01-RIZ-01.S,0,0,0,0
Pool01-RIZ-02.S,0,0,0,0
Pool01-RIZ-03.S,0,0,0,0
Pool01-RIZ-04.S,0,0,0,0
Pool01-RIZ-05.S,0,0,0,0
Pool01-RIZ-06.S,0,0,0,0
Pool01-RIZ-07.S,0,0,1,1
Pool01-RIZ-08.S,0,0,0,0
Pool01-RIZ-09.S,0,0,0,0
Pool01-RIZ-10.S,0,0,0,0
Pool01-RIZ-11.S,0,0,0,0
Pool01-RIZ-12.S,0,0,0,0
Pool01-RIZ-13.S,0,0,0,0
Pool01-RIZ-14.S,0,0,0,0
Pool01-RIZ-15.S,0,0,0,0
Pool01-RIZ-16.S,0,0,0,0
Pool01-RIZ-17.S,0,0,0,0
Pool01-RIZ-18.S,0,0,0,0
Pool01-RIZ-19.S,0,0,0,0
Pool01-RIZ-20.S,0,0,0,0
Pool01-RIZ-21.S,0,0,0,0
Pool01-RIZ-22.S,0,0,0,0
Pool01-RIZ-23.S,0,0,0,0
Pool01-RIZ-24.S,1,0,0,0
Pool01-RIZ-25.S,0,0,0,0
Pool01-RIZ-26.S,0,0,0,0
Pool01-RIZ-27.S,0,0,1,1
Pool01-RIZ-28.S,0,0,0,0
Pool01-RIZ-29.S,0,0,2,0
Pool01-RIZ-30.S,0,0,0,0
Pool01-RIZ-31.S,0,0,0,0
Pool01-RIZ-32.S,0,0,0,0
Pool01-RIZ-33.S,0,0,0,0
Pool01-RIZ-34.S,0,0,0,0
Pool01-RIZ-35.S,0,0,0,0
Pool01-RIZ-36.S,0,0,0,0
Pool01-RIZ-37.S,0,0,0,0
Pool01-RIZ-38.S,0,0,0,0
Pool01-RIZ-39.S,0,0,0,0
Pool01-RIZ-40.S,0,0,0,0
Pool02-RIZ-01.S,0,0,0,0
Pool02-RIZ-02.S,0,0,0,0
Pool02-RIZ-03.S,0,0,0,0
Pool02-RIZ-04.S,0,0,0,0
Pool02-RIZ-05.S,0,0,0,0
Pool02-RIZ-06.S,0,0,0,0
Pool02-RIZ-07.S,0,0,0,0
Pool02-RIZ-08.S,0,0,0,0
Pool02-RIZ-09.S,0,0,0,0
Pool02-RIZ-10.S,0,0,0,0
Pool02-RIZ-11.S,0,0,0,0
Pool02-RIZ-12.S,0,0,0,0
Pool02-RIZ-13.S,0,0,0,0
Pool02-RIZ-14.S,0,0,0,0
Pool02-RIZ-15.S,0,0,0,0
Pool02-RIZ-16.S,0,0,0,0
Pool02-RIZ-17.S,0,0,0,0
Pool02-RIZ-18.S,0,0,0,0
Pool02-RIZ-19.S,0,0,0,0
Pool02-RIZ-20.S,0,0,0,0
Pool02-RIZ-21.S,0,0,0,0
Pool02-RIZ-22.S,0,0,0,0
Pool02-RIZ-23.S,0,0,1,0
Pool02-RIZ-24.S,0,0,0,0
Pool02-RIZ-25.S,1,1,0,0
Pool02-RIZ-26.S,0,0,0,0
Pool02-RIZ-27.S,0,0,0,0
Pool02-RIZ-28.S,0,0,0,0
Pool02-RIZ-29.S,0,0,0,0
Pool02-RIZ-30.S,0,0,0,0
Pool02-RIZ-31.S,0,0,0,0
Pool02-RIZ-32.S,0,0,0,0
Pool02-RIZ-33.S,0,0,0,0
Pool02-RIZ-34.S,0,0,0,0
Pool02-RIZ-35.S,0,0,0,0
Pool02-RIZ-36.S,0,0,0,0
Pool02-RIZ-37.S,0,0,0,0
Pool02-RIZ-38.S,0,0,0,0
Pool02-RIZ-39.S,0,0,0,0
Pool02-RIZ-40.S,0,0,0,0
Pool03-RIZ-01.S,0,0,0,0
Pool03-RIZ-02.S,0,0,0,0
Pool03-RIZ-03.S,0,0,0,0
Pool03-RIZ-04.S,0,0,0,0
Pool03-RIZ-05.S,0,0,0,0
Pool03-RIZ-06.S,0,0,0,0
Pool03-RIZ-07.S,0,0,0,0
Pool03-RIZ-08.S,0,0,0,0
Pool03-RIZ-09.S,0,0,0,0
Pool03-RIZ-10.S,0,0,0,0
Pool03-RIZ-11.S,0,0,0,0
Pool03-RIZ-12.S,0,0,0,0
Pool03-RIZ-13.S,0,0,0,0
Pool03-RIZ-14.S,0,0,0,0
Pool03-RIZ-15.S,0,0,0,0
Pool03-RIZ-16.S,0,0,0,0
Pool03-RIZ-17.S,0,0,0,0
Pool03-RIZ-18.S,0,0,0,0
Pool03-RIZ-19.S,0,0,0,0
Pool03-RIZ-20.S,0,0,0,0
Pool03-RIZ-21.S,0,0,0,0
Pool03-RIZ-22.S,0,0,0,0
Pool03-RIZ-23.S,0,0,0,0
Pool03-RIZ-24.S,0,0,0,0
Pool03-RIZ-25.S,0,0,0,0
Pool03-RIZ-26.S,0,0,0,0
Pool03-RIZ-27.S,0,0,0,0
Pool03-RIZ-28.S,0,0,0,0
Pool03-RIZ-29.S,0,0,0,0
Pool03-RIZ-30.S,0,0,0,0
Pool03-RIZ-31.S,0,0,0,0
Pool03-RIZ-32.S,0,0,0,0
Pool03-RIZ-33.S,0,0,0,0
Pool03-RIZ-34.S,0,0,0,0
Pool03-RIZ-35.S,0,0,0,0
Pool03-RIZ-36.S,0,0,0,0
Pool03-RIZ-37.S,0,0,0,0
Pool03-RIZ-38.S,0,0,0,0
Pool03-RIZ-39.S,0,0,0,0
Pool03-RIZ-40.S,0,0,0,0
Pool04-EUK-01.S,0,0,0,0
Pool04-EUK-02.S,0,0,0,0
Pool04-EUK-03.S,0,0,0,0
Pool04-EUK-04.S,0,0,0,0
