"","LH-MD9-0000","LH-MD9-0250","LH-MD9-0450","LH-MD9-0700","LH-MD9-0900","LH-MD9-1150","NM-MD9-1849","NM-MD9-2050","NM-MD9-2250","NM-MD9-2450","NM-MD9-2650"
"Acidihalobacter",0,0,0,0,0,0,0,0,234,0,0
"Acinetobacter",0,0,0,0,0,0,0,0,143,0,103
"Actibacterium",0,0,0,0,0,0,0,0,187,0,0
"Actinoplanes",0,111,140,134,128,0,102,0,0,157,0
"Agrococcus",0,0,0,0,0,9828,31928,101000,7582,282,485
"Alcanivorax",0,0,0,0,0,7964,54338,613,37140,0,622
"Algoriphagus",0,0,0,0,0,0,281,1705,2188,0,0
"Aliivibrio",0,0,0,0,0,0,0,0,0,111,0
"Alkalihalobacillus",0,0,0,0,0,0,0,109,0,0,0
"Alteromonas",0,0,0,0,0,373,0,0,0,0,0
"Amphritea",0,0,161,0,0,0,0,0,0,0,0
"Amycolatopsis",0,0,0,0,0,0,0,0,123,144,222
"Anabaenopsis",0,0,0,0,0,110,0,0,0,0,577
"Anaerobacillus",0,0,0,330,115,0,275,166,114,0,0
"Anaeromyxobacter",101,0,0,0,0,0,0,0,0,0,0
"Anderseniella",0,145,123,122,0,151,3021,0,0,0,0
"Arthrobacter",0,158,163,0,0,0,0,674,380,105,134
"Asterias",0,382,0,0,103,263,157,159,499,543,572
"Aurantiacibacter",0,0,0,0,0,0,360,0,0,0,0
"Aurantimonas",0,0,0,0,0,0,0,0,939,0,0
"Aureimonas",116,0,0,0,0,0,0,0,0,0,0
"Aureococcus",0,618,281,578,745,838,568,332,785,1711,938
"Azospirillum",626,244,156,0,0,0,0,0,0,0,0
"Bacillus",0,0,0,187,135,140,639,591,154,113,442
"Bathycoccus",107,1004,685,686,1026,1531,1804,1892,4293,7248,6535
"Betula",0,0,0,0,0,0,0,0,116,104,113
"Bigelowiella",0,0,0,0,0,0,0,0,280,301,146
"Bosea",177,0,0,0,0,0,0,0,0,132,0
"Brachybacterium",0,0,0,0,0,0,0,0,148,0,0
"Bradyrhizobium",888,628,1594,295,243,285,352,221,302,1806,848
"Brevibacterium",0,0,0,0,0,0,0,144,0,0,0
"Brevundimonas",137,0,0,0,0,0,0,0,0,0,0
"Burkholderia",117,0,0,0,0,0,0,0,0,0,0
"Bythopirellula",245,0,151,0,123,142,0,0,0,152,100
"Candidatus Actinomarina",0,0,0,0,0,0,0,0,101,260,119
"Candidatus Aerophobus",0,0,644,315,1360,0,1496,2958,15932,27847,2538
"Candidatus Atelocyanobacterium",0,0,0,0,0,130,0,0,157,189,0
"Candidatus Nitrosomarinus",0,0,0,0,0,0,0,130,213,643,236
"Candidatus Pelagibacter",110,252,210,285,295,484,512,578,1444,2396,1304
"Candidatus Prometheoarchaeum",0,0,255,662,0,0,0,0,0,0,0
"Candidatus Pseudothioglobus",130,749,552,560,831,1247,1244,1569,2712,4350,2518
"Candidatus Reidiella",0,0,0,143,0,0,0,0,0,0,0
"Candidatus Thalassarchaeum",170,1147,1013,606,1813,1855,1345,1994,3611,8619,4246
"Candidatus Thioglobus",0,103,0,0,117,265,299,259,410,959,708
"Carcharodon",0,0,0,0,0,0,0,0,0,108,0
"Carpinus",0,0,0,191,293,0,0,165,314,260,293
"Catellatospora",0,240,214,0,0,0,0,0,0,0,0
"Caulobacter",193,0,0,0,0,0,0,0,0,0,0
"Chaetoceros",0,0,0,0,0,0,136,0,162,139,117
"Chelatococcus",0,0,0,0,0,0,0,280,0,0,0
"Chloroparvula",0,0,0,0,0,0,0,0,0,120,0
"Ciona",0,128,160,197,364,275,0,146,215,226,233
"Clostridium",0,0,0,0,0,0,110,127,112,184,164
"Clupea",0,756,3021,1169,1432,1814,3014,686,1275,3771,1752
"Colwellia",0,0,265,0,0,0,0,0,0,127,100
"Conexibacter",0,0,0,0,0,0,0,0,0,224,116
"Corylus",0,571,502,578,1840,1766,4115,7170,8160,9827,12907
"Corynebacterium",0,0,0,0,0,0,107,268,243,136,206
"Croceicoccus",0,0,0,0,0,0,303,0,0,0,0
"Cupriavidus",137,0,0,0,0,0,0,0,0,0,0
"Cutibacterium",0,0,166,0,0,0,0,0,188,154,418
"Cyanobium",0,0,0,0,0,0,0,0,0,114,0
"Cyclobacterium",0,0,0,0,0,0,0,0,147,0,0
"Cyprideis",0,0,100,0,0,104,0,0,115,260,147
"Cytobacillus",0,0,0,0,0,0,190,256,0,0,0
"Defluviicoccus",125,0,0,0,0,0,0,0,0,0,0
"Desulfobacterium",0,0,0,0,0,0,0,0,0,117,0
"Desulfosarcina",0,0,0,0,105,0,0,0,0,141,0
"Desulfoscipio",0,0,0,0,0,0,0,122,0,0,0
"Desulfosporosinus",0,0,0,0,0,0,0,156,0,188,0
"Desulfuromonas",0,0,0,225,0,0,0,0,0,0,0
"Devosia",109,0,0,0,0,0,0,423,0,0,0
"Dictyocha",0,0,0,0,113,148,112,184,242,301,283
"Dietzia",0,388,231,0,629,0,38687,85004,67539,652,7707
"Dinoroseobacter",0,0,0,0,0,0,103,0,187,0,0
"Draconibacterium",0,0,0,472,0,0,0,0,0,0,0
"Dryopteris",0,0,0,0,0,0,0,0,0,116,189
"Durio",0,0,0,0,0,114,275,582,1286,783,417
"Echinicola",0,0,0,0,0,0,0,0,384,0,0
"Emiliania",0,0,0,111,0,113,0,0,0,405,0
"Ensifer",117,0,0,0,0,0,0,0,0,0,0
"Erythrobacter",0,0,0,0,0,0,339,0,291,0,0
"Exophiala",0,0,0,0,0,0,0,0,0,102,0
"Fagus",0,210,247,490,955,1231,0,0,0,0,0
"Fictibacillus",0,0,0,0,0,161,266,247,101,0,128
"Filomicrobium",0,0,0,0,0,0,0,0,0,135,158
"Flavobacterium",0,0,0,0,0,0,0,0,135,179,127
"Florenciella",0,0,0,0,0,0,0,0,124,245,120
"Formosa",0,0,0,124,0,133,0,171,636,1015,538
"Frankia",0,0,0,0,0,0,0,0,0,107,220
"Gadus",0,322,175,105,265,216,197,158,269,361,226
"Geodermatophilus",0,0,0,130,269,130,112,0,146,0,210
"Gimesia",117,166,0,0,0,0,0,0,0,0,0
"Glycocaulis",0,0,0,0,0,0,0,0,0,125,0
"Gordonia",0,0,0,0,0,0,173,175,387,200,361
"Haladaptatus",0,112,156,121,317,330,0,0,0,0,228
"Halioxenophilus",0,0,0,0,0,192,0,0,0,0,0
"Halohasta",0,0,0,0,0,0,0,0,0,0,128
"Halomicroarcula",0,0,0,0,0,0,0,0,0,0,154
"Halomonas",209,0,0,0,0,184,437,0,12586,157,160
"Halopseudomonas",0,0,279,0,0,0,0,0,706,0,0
"Halorubrum",0,0,0,0,0,0,0,0,105,192,553
"Homo",0,0,0,0,0,0,0,0,182,0,0
"Humibacter",0,0,0,0,0,0,0,150,0,0,0
"Hungatella",0,0,0,0,0,0,0,0,233,0,0
"Hydrogenovibrio",0,0,0,0,0,0,26824,279,56918,59498,0
"Hypericibacter",528,171,105,0,0,0,0,0,0,0,0
"Hyphomonas",0,0,658,0,0,0,7090,8485,0,10859,0
"Ignavibacterium",364,0,0,0,0,0,0,0,0,100,0
"Ilumatobacter",0,0,0,165,0,0,0,0,0,129,0
"Janibacter",0,0,0,15058,194,0,2473,213561,63010,18986,7159
"Kaustia",122,0,0,0,0,0,0,0,0,0,0
"Kocuria",0,0,0,0,0,0,0,124,0,0,0
"Lignipirellula",126,0,0,0,0,0,0,0,0,0,0
"Lolium",0,0,0,0,162,129,0,200,260,455,485
"Loxodonta",0,0,0,0,0,0,0,0,0,0,282
"Luteitalea",105,0,0,0,0,0,0,0,0,0,0
"Lutibacter",0,0,0,290,0,0,0,0,0,0,0
"Lysobacter",118,0,0,0,0,0,0,0,0,0,0
"Magnetospirillum",254,0,0,0,0,0,0,0,0,0,0
"Malus",0,0,0,0,0,0,0,0,470,236,327
"Maribacter",0,134,754,0,0,0,0,0,0,0,0
"Marinobacter",0,311,1266,0,0,13650,359,0,3672,0,0
"Mariprofundus",0,0,0,171,0,0,0,0,0,0,0
"Membranipora",0,0,0,0,0,0,0,0,103,0,0
"Mesorhizobium",572,436,1055,182,120,183,221,140,261,1120,791
"Methanococcoides",0,0,0,0,0,0,0,0,0,111,0
"Methanoculleus",0,0,0,105,0,1514,0,0,0,0,165
