1	85
1	31
1	62
0	69
0	60
0	52
1	42
0	55
1	65
2	89
2	57
0	34
1	69
1	79
0	35
1	50
0	68
0	64
2	55
1	55
0	39
1	70
1	34
1	57
2	56
0	80
1	82
2	49
0	48
1	63
0	54
1	75
4	93
1	35
0	41
1	51
1	42
0	73
0	76
2	52
0	60
0	35
1	35
3	63
2	63
0	47
2	59
1	69
0	43
1	60
1	35
1	59
1	37
1	80
1	64
1	71
0	33
2	77
2	61
1	83
2	83
0	77
1	53
2	53
1	57
0	63
0	32
2	63
1	53
1	109
1	59
1	57
1	63
1	57
0	71
1	44
0	69
2	62
3	62
0	43
3	72
1	49
1	89
0	42
2	66
1	70
0	84
3	84
0	74
0	43
0	59
0	31
0	50
1	44
2	61
1	47
0	84
0	34
0	50
0	48
0	58
0	37
0	49
1	54
1	52
3	61
0	85
1	84
2	83
2	90
1	50
1	76
0	45
3	71
1	38
0	60
1	91
1	71
2	55
0	70
0	53
0	45
0	36
1	59
3	141
2	141
0	77
1	44
0	43
3	70
1	67
1	59
0	71
0	48
1	46
2	61
1	61
0	85
0	52
0	39
0	44
1	77
0	62
1	106
2	66
0	54
3	72
1	48
0	47
0	59
0	61
1	39
0	39
0	44
0	44
1	33
0	86
1	72
0	75
0	35
0	47
0	65
0	108
3	116
0	39
2	65
0	57
0	47
0	76
2	56
0	40
0	59
1	34
1	75
0	40
2	47
0	42
1	62
1	53
1	68
0	39
1	80
0	80
0	39
0	127
0	35
1	48
1	35
0	40
0	77
2	52
1	72
1	39
1	32
0	32
2	54
0	46
0	99
1	32
0	39
2	65
0	51
1	38
1	91
0	40
0	50
0	54
2	86
1	44
